,en,ko
32280,scrapie,스크래피
32281,Scranton,스크랜턴
32282,scramble,스크램블
32283,scrambled eggs,스크램블드에그
32284,scrambler,스크램블러
32285,scramble race,스크램블레이스
32286,scrap,스크랩
32287,scrapbook,스크랩북
32288,Skryabin,스크랴빈
32289,scrummage,스크러미지
32290,scrum,스크럼
32291,scrum leader,스크럼리더
32292,scrum try,스크럼트라이
32293,scrum half,스크럼하프
32294,scraper,스크레이퍼
32295,scraper conveyer,스크레이퍼컨베이어
32296,scroll,스크롤
32297,scroll bar,스크롤바
32298,screw,스크루
32299,screw ball,스크루볼
32300,screw conveyer,스크루컨베이어
32301,screw kick,스크루킥
32302,screw pump,스크루펌프
32303,screening,스크리닝
32304,screening test,스크리닝테스트
32305,scrimmage,스크리미지
32306,Scribe,스크리브
32307,screen,스크린
32308,screen quota,스크린쿼터
32309,screen test,스크린테스트
32310,screen process,스크린프로세스
32311,screen play,스크린플레이
32312,scripter,스크립터
32313,script,스크립트
32314,script writer,스크립트라이터
32315,ski,스키
32316,skid,스키드
32317,schema,스키마
32318,ski marathon,스키마라톤
32319,Schiaparelli,스키아파렐리
32320,skiograph,스키오그래프
32321,schizanthus,스키잔서스
32322,Scythai,스키타이
32323,scyphistoma,스키피스토마
32324,Scipio Africanus,스키피오 아프리카누스
32325,skipping step,스키핑스텝
32326,skin diver,스킨다이버
32327,skin diving,스킨다이빙
32328,skin lotion,스킨로션
32329,skin care,스킨케어
32330,skill,스킬
32331,Scylla,스킬라
32332,skip,스킵
32333,star,스타
32334,star guide,스타가이드
32335,Stanislavskii system,스타니슬라프스키시스템
32336,stardom,스타덤
32337,star ruby,스타루비
32338,starboard tack,스타보드택
32339,star sapphire,스타사파이어
32340,star system,스타시스템
32341,stout,스타우트
32342,stymie,스타이미
32343,Steichen,스타이컨
32344,Steinbeck,스타인벡
32345,style,스타일
32346,stylus,스타일러스
32347,stylist,스타일리스트
32348,styling,스타일링
32349,stylebook,스타일북
32350,stocking,스타킹
32351,starter,스타터
32352,start,스타트
32353,Statice,스타티세
32354,starting member,스타팅 멤버
32355,starting gate,스타팅게이트
32356,starting block,스타팅블록
32357,stapelia,스타펠리아
32358,star player,스타플레이어
32359,Starling,스탈링
32360,Stendhal,스탕달
32361,stagflation,스태그플레이션
32362,stamina,스태미나
32363,stabile,스태빌
32364,stabilizer,스태빌라이저
32365,stacker,스태커
32366,stacking,스태킹
32367,staff,스태프
32368,stack,스택
32369,standard,스탠더드
32370,standard number,스탠더드넘버
32371,stand,스탠드
32372,stand wrestling,스탠드레슬링
32373,stand-off,스탠드오프
32374,stand-in,스탠드인
32375,stand collar,스탠드칼라
32376,stand play,스탠드플레이
32377,standing,스탠딩
32378,standing start,스탠딩스타트
32379,Stanley,스탠리
32380,stance,스탠스
32381,stanza,스탠자
32382,Stanton,스탠턴
32383,stamp,스탬프
32384,stamp money,스탬프머니
32385,stamp ink,스탬프잉크
32386,stamp hammer,스탬프해머
32387,stuffing box,스터핑박스
32388,Sterne,스턴
32389,stunt,스턴트
32390,stunt man,스턴트맨
32391,stunt woman,스턴트우먼
32392,sterling,스털링
32393,sterling engine,스털링엔진
32394,sterling pound,스털링파운드
32395,stegodon,스테고돈
32396,stegosaurus,스테고사우루스
32397,Steno,스테노
32398,steady seller,스테디셀러
32399,steradian,스테라디안
32400,stereo,스테레오
32401,stereo radio,스테레오라디오
32402,stereo record,스테레오레코드
32403,stereo type,스테레오타입
32404,stereo tape,스테레오테이프
32405,steroid,스테로이드
32406,steroid hormone,스테로이드호르몬
32407,sterol,스테롤
32408,sternbergia,스테른베르기아
32409,stearin,스테아린
32410,steapsin,스테압신
32411,stay,스테이
32412,station,스테이션
32413,station brake,스테이션브레이크
32414,station wagon,스테이션왜건
32415,stay in,스테이인
32416,stage,스테이지
32417,stage dance,스테이지댄스
32418,steak,스테이크
32419,stakes,스테이크스
32420,staple,스테이플
32421,stapler,스테이플러
32422,staple fiber,스테이플파이버
32423,stained glass,스테인드글라스
32424,stainless,스테인리스
32425,stainless steel,스테인리스스틸
32426,stencil,스텐실
32427,stencil paper,스텐실페이퍼
32428,Stenka Razin,스텐카 라진
32429,stellite,스텔라이트
32430,stealth,스텔스
32431,steppe,스텝
32432,step,스텝
32433,Stowe,스토
32434,stony,스토니
32435,Stoney,스토니
32436,story,스토리
32437,storyboard,스토리보드
32438,Storyville,스토리빌
32439,stove,스토브
32440,stove league,스토브리그
32441,store,스토어
32442,Stoicism,스토이시즘
32443,stoker,스토커
32444,stokesia,스토케시아
32445,Stokowski,스토코프스키
32446,Leopold,레오폴드
32447,stokes,스토크스
32448,Stokes,스토크스
32449,stopper,스토퍼
32450,stoppage,스토피지
32451,stock,스톡
32452,stock loan,스톡론
32453,stock mind,스톡마인드
32454,stock inflation,스톡인플레이션
32455,stone circle,스톤서클
32456,Stonehenge,스톤헨지
32457,stall,스톨
32458,STOL,스톨
32459,stole,스톨
32460,stop,스톱
32461,stop motion,스톱모션
32462,stop volley,스톱발리
32463,stop valve,스톱밸브
32464,stop ball,스톱볼
32465,stopwatch,스톱워치
32466,stool,스툴
32467,stew,스튜
32468,studio,스튜디오
32469,steward,스튜어드
32470,stewardess,스튜어디스
32471,Stewart,스튜어트
32472,Stradivari,스트라디바리
32473,Strabon,스트라본
32474,stride,스트라이드
32475,striker,스트라이커
32476,strike,스트라이크
32477,strike broker,스트라이크브로커
32478,strike out,스트라이크아웃
32479,strike zone,스트라이크존
32480,striking circle,스트라이킹서클
32481,stripe,스트라이프
32482,stratovision,스트래토비전
32483,Strafford,스트래퍼드
32484,strap,스트랩
32485,stress,스트레스
32486,Strachey,스트레이치
32487,straight,스트레이트
32488,straight hitting,스트레이트히팅
32489,strain,스트레인
32490,strangeness,스트레인지니스
32491,stretch,스트레치
32492,stretch boots,스트레치부츠
32493,stretching,스트레칭
32494,streptomycin,스트렙토마이신
32495,streptomyces,스트렙토미세스
32496,streptovaricin,스트렙토바리신
32497,straw,스트로
32498,stroma,스트로마
32499,stromeyerite,스트로마이어라이트
32500,strobo light,스트로보라이트
32501,stroboscope,스트로보스코프
32502,strobila,스트로빌라
32503,stroke,스트로크
32504,stroke play,스트로크플레이
32505,strophanthus,스트로판투스
32506,strophanthin,스트로판틴
32507,strophulus,스트로풀루스
32508,strontium,스트론튬
32509,Stromboli,스트롬볼리
32510,STRICOM,스트리콤
32511,strychnine,스트리크닌
32512,streaking,스트리킹
32513,street,스트리트
32514,stripper,스트리퍼
32515,Strindberg,스트린드베리
32516,stream,스트림
32517,strip,스트립
32518,striplight,스트립라이트
32519,strip mill,스트립밀
32520,string,스트링
32521,Stieglitz,스티글리츠
32522,styrene,스티렌
32523,styrene paper,스티렌페이퍼
32524,styrofoam,스티로폼
32525,styrol,스티롤
32526,styrol paper,스티롤페이퍼
32527,Stevens,스티븐스
32528,Stevenson,스티븐슨
32529,Stephenson,스티븐슨
32530,steering lock,스티어링로크
32531,stitch,스티치
32532,sticker,스티커
32533,stick,스틱
32534,still,스틸
32535,steel,스틸
32536,Steele,스틸
32537,still camera,스틸 카메라
32538,steel guitar,스틸기타
32539,stilbite,스틸바이트
32540,stilb,스틸브
32541,steel sash,스틸새시
32542,steel edge,스틸에지
32543,steel casting,스틸캐스팅
32544,steel tape,스틸테이프
32545,steel foil,스틸포일
32546,steam,스팀
32547,Stimson,스팀슨
32548,steam catapult,스팀캐터펄트
32549,steam turbine,스팀터빈
32550,steam trap,스팀트랩
32551,steam pipe,스팀파이프
32552,steam hammer,스팀해머
32553,SPADATS,스파다츠
32554,Spartacus,스파르타쿠스
32555,sparteine,스파르테인
32556,sparring,스파링
32557,spy,스파이
32558,spiral spring,스파이럴스프링
32559,spiral propeller,스파이럴프로펠러
32560,spirometry,스파이로미트리
32561,spiker,스파이커
32562,spike,스파이크
32563,spike shoes,스파이크슈즈
32564,sparker,스파커
32565,spark,스파크
32566,Spathiphyllum Patinii,스파티필룸파티니이
32567,spandex,스판덱스
32568,Spallanzani,스팔란차니
32569,spanner,스패너
32570,spaniel,스패니얼
32571,spats,스패츠
32572,span,스팬
32573,spangle,스팽글
32574,spur gear,스퍼기어
32575,spun rayon,스펀레이온
32576,sponge,스펀지
32577,sponge grease,스펀지그리스
32578,sponge racket,스펀지라켓
32579,sponge rubber,스펀지러버
32580,sponge ball,스펀지볼
32581,sponge cake,스펀지케이크
32582,spenodon,스페노돈
32583,Speranski,스페란스키
32584,spherometer,스페로미터
32585,Spheroplast,스페로플라스트
32586,spermatin,스페르마틴
32587,spherics,스페릭스
32588,special,스페셜
32589,spare,스페어
32590,spare seat,스페어시트
32591,spare tire,스페어타이어
32592,Speusippos,스페우시포스
32593,spade,스페이드
32594,space,스페이스
32595,space shuttle,스페이스셔틀
32596,space opera,스페이스오페라
32597,space chair,스페이스체어
32598,space chamber,스페이스체임버
32599,space colony,스페이스콜로니
32600,space track,스페이스트랙
32601,space power system,스페이스파워시스템
32602,space plane,스페이스플레인
32603,speculum,스페큘럼
32604,spectrum,스펙트럼
32605,spectrograph,스펙트로그래프
32606,spectrogram,스펙트로그램
32607,spectrometer,스펙트로미터
32608,spectroscope,스펙트로스코프
32609,spectroheliograph,스펙트로헬리오그래프
32610,Spenser,스펜서
32611,Spencer,스펜서
32612,spencer jacket,스펜서재킷
32613,spell,스펠
32614,spelling,스펠링
32615,sporocyst,스포로시스트
32616,spoiler,스포일러
32617,sports,스포츠
32618,sports doctor,스포츠닥터
32619,sportsman,스포츠맨
32620,sports center,스포츠센터
32621,sports car,스포츠카
32622,Spokane,스포캔
32623,spotlight,스포트라이트
32624,sporty,스포티
32625,sponsor,스폰서
32626,Spontini,스폰티니
32627,spot,스폿
32628,spot news,스폿 뉴스
32629,spot ball,스폿볼
32630,spoon,스푼
32631,spool,스풀
32632,spooling,스풀링
32633,spreadsheet,스프레드시트
32634,spray,스프레이
32635,spray gun,스프레이건
32636,sprayer,스프레이어
32637,sproket wheel,스프로킷휠
32638,sprinter,스프린터
32639,sprint,스프린트
32640,spring,스프링
32641,springboard,스프링보드
32642,springboard diving,스프링보드다이빙
32643,springbok,스프링복
32644,spring camera,스프링카메라
32645,spring camp,스프링캠프
32646,sprinkler,스프링클러
32647,Springfield,스프링필드
32648,spline,스플라인
32649,splash,스플래시
32650,splitter,스플리터
32651,split,스플릿
32652,split style,스플릿스타일
32653,spinner,스피너
32654,spinor,스피너
32655,spinel,스피넬
32656,spinet,스피넷
32657,speed,스피드
32658,speed gun,스피드건
32659,speed skating,스피드스케이팅
32660,spiramycin,스피라마이신
32661,spironolactone,스피로놀락톤
32662,spirogyra,스피로지라
32663,Spirochaeta,스피로헤타
32664,Spirochaeta pallida,스피로헤타팔리다
32665,spirulina,스피룰리나
32666,spirillum,스피릴룸
32667,spirit,스피릿
32668,spirit gum,스피릿검
32669,spearmint,스피어민트
32670,spitz,스피츠
32671,Spica,스피카
32672,speaker,스피커
32673,speaker unit,스피커유닛
32674,speakerphone,스피커폰
32675,Speke,스피크
32676,spin,스핀
32677,spindle,스핀들
32678,spindle line,스핀들 라인
32679,spin rocket,스핀로켓
32680,spinthariscope,스핀새리스코프
32681,spin kick,스핀킥
32682,spillover,스필오버
32683,spitball,스핏볼
32684,sphingomyelin,스핑고미엘린
32685,Sphinx,스핑크스
32686,slider,슬라이더
32687,slide,슬라이드
32688,slide glass,슬라이드글라스
32689,slide calipers,슬라이드캘리퍼스
32690,sliding,슬라이딩
32691,sliding system,슬라이딩시스템
32692,sliding seat,슬라이딩시트
32693,sliding tackle,슬라이딩태클
32694,slice,슬라이스
32695,slice ball,슬라이스볼
32696,slag,슬래그
32697,slag cement,슬래그시멘트
32698,slag wool,슬래그울
32699,slab,슬래브
32700,slab oil,슬래브오일
32701,slash,슬래시
32702,slash jean,슬래시 진
32703,slash pocket,슬래시포켓
32704,slacks,슬랙스
32705,slapstick comedy,슬랩스틱코미디
32706,slugger,슬러거
32707,slug,슬러그
32708,slurry,슬러리
32709,slub,슬러브
32710,slum,슬럼
32711,slump,슬럼프
32712,slumpflation,슬럼프플레이션
32713,slake,슬레이크
32714,slate,슬레이트
32715,slow loris,슬로로리스
32716,slow motion,슬로모션
32717,slow VTR,슬로브이티아르
32718,slow video,슬로비디오
32719,slow curve,슬로커브
32720,slow cranking,슬로크랭킹
32721,slotter,슬로터
32722,slotting machine,슬로팅머신
32723,slot,슬롯
32724,slot machine,슬롯머신
32725,sliver,슬리버
32726,sleeve,슬리브
32727,sleeveless,슬리브리스
32728,sleeveless top,슬리브리스 톱
32729,slicker,슬리커
32730,sleek,슬리크
32731,sleek style,슬리크스타일
32732,slipper,슬리퍼
32733,slim skirt,슬림스커트
32734,slip,슬립
32735,slip ring,슬립 링
32736,slip down,슬립다운
32737,slit,슬릿
32738,slit skirt,슬릿 스커트
32739,slit camera,슬릿카메라
32740,sling,슬링
32741,sling bag,슬링 백
32742,cigar,시가
32743,signal,시그널
32744,signal music,시그널뮤직
32745,signal tracer,시그널트레이서
32746,sigmatron,시그마트론
32747,Siegbahn,시그반
32748,scenario,시나리오
32749,cinnamon,시나몬
32750,synapse,시냅스
32751,Signac,시냐크
32752,Paul,폴
32753,thinner,시너
32754,synagogue,시너고그
32755,synergy,시너지
32756,cineraria,시네라리아
32757,Cinerama,시네라마
32758,cinema,시네마
32759,cinema drama,시네마드라마
32760,Cinema Scope,시네마스코프
32761,cinemacolor,시네마컬러
32762,cinematograph,시네마토그래프
32763,cine-miracle,시네미러클
32764,Cinesco,시네스코
32765,cinecamera,시네카메라
32766,Signorelli,시뇨렐리
32767,sinus,시누스
32768,cynicism,시니시즘
32769,Senior,시니어
32770,cynical,시니컬
32771,cedar,시더
32772,siderostat,시데로스탯
32773,seed,시드
32774,Cid Campeador,시드 캄페아도르
32775,Sydenham,시드넘
32776,Thomas,토머스
32777,Sydney,시드니
32778,Sidney,시드니
32779,CD,시디
32780,CD,시디
32781,CD,시디
32782,CD-ROM,시디롬
32783,CDE,시디이
32784,CD player,시디플레이어
32785,Cyrano de Bergerac,시라노 드베르주라크
32786,Syracuse,시러큐스
32787,syrup,시럽
32788,cereal,시리얼
32789,Sirius,시리우스
32790,series,시리즈
32791,Syrinx,시링크스
32792,syrinx,시링크스
32793,sima,시마
32794,Szymanowski,시마노프스키
32795,Symmer,시머
32796,symmetry,시머트리
32797,Symons,시먼스
32798,Symonds,시먼즈
32799,simethicone,시메시콘
32800,cementite,시멘타이트
32801,cementation,시멘테이션
32802,cement,시멘트
32803,cement gun,시멘트건
32804,cement mortar,시멘트모르타르
32805,cement silo,시멘트사일로
32806,cement concrete,시멘트콘크리트
32807,cement tile,시멘트타일
32808,Simonides,시모니데스
32809,CMOS,시모스
32810,Simon,시몬
32811,cimolite,시몰라이트
32812,Simon,시몽
32813,simoom,시뭄
32814,simulation,시뮬레이션
32815,simulator,시뮬레이터
32816,Simeon,시므온
32817,Sivapithecus,시바피테쿠스
32818,sea berth,시버스
32819,sievert,시버트
32820,civex,시벡스
32821,Sibelius,시벨리우스
32822,CV cable,시브이 케이블
32823,CVT,시브이티
32824,CB,시비
32825,CBR,시비아르
32826,Civic Trust,시빅트러스트
32827,civil minimum,시빌미니멈
32828,cisapride,시사프라이드
32829,secession,시세션
32830,seesaw,시소
32831,seesaw game,시소게임
32832,thesaurus,시소러스
32833,sysop,시솝
32834,sheath,시스
32835,see through look,시스루룩
32836,C three I,시스리아이
32837,Sismondi,시스몽디
32838,cysteine,시스테인
32839,system,시스템
32840,system dynamics,시스템다이내믹스
32841,system design,시스템디자인
32842,system life cycle,시스템라이프사이클
32843,system software,시스템소프트웨어
32844,systems approach,시스템스어프로치
32845,system engineer,시스템엔지니어
32846,system engineering,시스템엔지니어링
32847,system kitchen,시스템키친
32848,system program,시스템프로그램
32849,system planner,시스템플래너
32850,system house,시스템하우스
32851,cystine,시스틴
32852,cisplatin,시스플라틴
32853,Sisley,시슬레
32854,cc,시시
32855,CCD,시시디
32856,CCV,시시브이
32857,CCC,시시시
32858,CCIR,시시아이아르
32859,CCU,시시유
32860,Sisyphos,시시포스
32861,cyanide,시아나이드
32862,cyanogen,시아노겐
32863,cyanoacetylene,시아노아세틸렌
32864,cyanocobalamine,시아노코발라민
32865,cyanin,시아닌
32866,CRD,시아르디
32867,CRT,시아르티
32868,CRT display,시아르티 디스플레이
32869,CIA,시아이에이
32870,CIF,시아이에프
32871,CIO,시아이오
32872,CIQ,시아이큐
32873,CIP,시아이피
32874,cyan,사이안
32875,cyanamide,시안아미드
32876,sial,시알
32877,Seattle,시애틀
32878,sea anchor,시앵커
32879,shearing,시어링
32880,seersucker,시어서커
32881,theater,시어터
32882,theatricalism,시어트리컬리즘
32883,shear pin,시어핀
32884,theophilline,시어필린
32885,CSCE,시에스시이
32886,CAD,시에이디
32887,CACCI,시에이시시아이
32888,CF,시에프
32889,CND,시엔디
32890,CNN,시엔엔
32891,Sienkiewicz,시엔키에비치
32892,CMC,시엠시
32893,CMEA,시엠이에이
32894,Zionism,시오니즘
32895,COD,시오디
32896,CIOS,시오스
32897,Ciudad Trujillo,시우다드트루히요
32898,CUG,시유지
32899,theism,시이즘
32900,scissors,시저스
32901,scissors jump,시저스점프
32902,scissors pass,시저스패스
32903,Caesar-Cleopatra,시저와 클레오파트라
32904,season,시즌
32905,CGI,시지아이
32906,Sidgwick,시지윅
32907,siege tactics,시지택틱스
32908,Shchedrin,셰드린
32909,situation,시추에이션
32910,situation comedy,시추에이션 코미디
32911,situation drama,시추에이션드라마
32912,Chicago,시카고
32913,secant,시컨트
32914,Siqueiros,시케이로스
32915,David Alfaro,다비드 알파로
32916,Schickele,시켈레
32917,Sikelianos,시켈리아노스
32918,sikussak,시쿠삭
32919,sequence,시퀀스
32920,sequential access,시퀜셜액세스
32921,CQD,시큐디
32922,security system,시큐리티시스템
32923,cyclamen,시클라멘
32924,C-clamp,시클램프
32925,cyclobarbital,시클로바르비탈
32926,cyclosporine,시클로스포린
32927,cycloalkane,시클로알칸
32928,cycloolefin,시클로올레핀
32929,cycloparaffin,시클로파라핀
32930,cyclopan,시클로판
32931,cyclopentane,시클로펜탄
32932,cyclopropane,시클로프로판
32933,cyclohexanone,시클로헥사논
32934,cyclohexane,시클로헥산
32935,Seton,시턴
32936,Ernest Evan Thompson,어니스트 에번 톰프슨
32937,SEATO,시토
32938,cytosine,시토신
32939,cytochrome,시토크롬
32940,cytochrome C,시토크롬 시
32941,cytokinin,시토키닌
32942,Sheet,시트
32943,seat,시트
32944,citral,시트랄
32945,citronellol,시트로넬롤
32946,citron,시트론
32947,citrulline,시트룰린
32948,sheet bar,시트바
32949,Sitwell,시트웰
32950,Osbert,오스버트
32951,sitcom,시트콤
32952,sheet pile,시트파일
32953,CT,시티
32954,City,시티
32955,cytidine,시티딘
32956,CT scanner,시티스캐너
32957,CTC,시티시
32958,CTC,시티시
32959,CTS,시티에스
32960,CTS,시티에스
32961,city air terminal,시티에어 터미널
32962,citizen band,시티즌밴드
32963,Shipper's usance,시퍼스유전스
32964,chiffon,시폰
32965,chiffon velvet,시폰벨벳
32966,siproteron acetate,시프로테론아세테이트
32967,shift,시프트
32968,shift down,시프트다운
32969,shift plays,시프트플레이
32970,CP,시피
32971,CP,시피
32972,CPR,시피아르
32973,CPI,시피아이
32974,CPS,시피에스
32975,CPS,시피에스
32976,CPX,시피엑스
32977,CPM,시피엠
32978,CPU,시피유
32979,scene,신
32980,Cinderella,신데렐라
32981,Cinderella complex,신데렐라콤플렉스
32982,syndrome,신드롬
32983,Sindbad,신드바드
32984,syndicate,신디케이트
32985,syndicate loan,신디케이트론
32986,Cincinnati,신시내티
32987,Synthesizer,신시사이저
32988,Syntagma,신태그마
32989,scintigram,신티그램
32990,scintiscanning,신티스캐닝
32991,scintillation,신틸레이션
32992,sill,실
32993,seal,실
32994,silane,실란
32995,Schiller,실러
32996,coelacanth,실러캔스
32997,Schiele,실레
32998,Egon,에곤
32999,selector,실렉터
33000,Silone,실로네
33001,ceilometer,실로미터
33002,coelostat,실로스탯
33003,xylophone,실로폰
33004,Ceylon,실론
33005,silumin,실루민
33006,Silymarin,실리마린
33007,silicide,실리사이드
33008,silica,실리카
33009,silica cement,실리카시멘트
33010,silica tile,실리카타일
33011,silicone,실리콘
33012,silicon,실리콘
33013,silicone grease,실리콘그리스
33014,silicon diode,실리콘다이오드
33015,Silicon Valley,실리콘밸리
33016,silicone oil,실리콘오일
33017,silicon chip,실리콘칩
33018,silicon transistor,실리콘트랜지스터
33019,cylinder,실린더
33020,cylinder gauge,실린더게이지
33021,cylinder block,실린더블록
33022,cylinder oil,실린더오일
33023,cylinder head,실린더헤드
33024,Shilling,실링
33025,shilling,실링
33026,ceiling,실링
33027,ceiling rosette,실링로제트
33028,Silva,실바
33029,Silvanus,실바누스
33030,silver,실버
33031,silver screen,실버스크린
33032,silver streak,실버스트리크
33033,Silver City,실버시티
33034,silver seal,실버실
33035,silver town,실버타운
33036,silver time,실버타임
33037,silverton,실버톤
33038,Sylvester,실베스터
33039,silket,실켓
33040,silk,실크
33041,silk glue,실크글루
33042,silk screen,실크스크린
33043,silk wool,실크울
33044,silk print,실크프린트
33045,silk hat,실크해트
33046,silt,실트
33047,seam,심
33048,Symbol,심벌
33049,symbolism,심벌리즘
33050,symbolic logic,심벌릭로직
33051,symbol mark,심벌마크
33052,cymbals,심벌즈
33053,SIMSCRIPT,심스크립트
33054,symphony,심포니
33055,symphony orchestra,심포니오케스트라
33056,symphonic ballet,심포닉발레
33057,symphonic jazz,심포닉재즈
33058,symposium,심포지엄
33059,Simpson,심프슨
33060,Simplon,심플론
33061,Simplon Tunnel,심플론터널
33062,sit-down strike,싯다운스트라이크
33063,Synge,싱
33064,single,싱글
33065,single bed,싱글베드
33066,single scull,싱글스컬
33067,Singer,싱어
33068,sinker,싱커
33069,syncopation,싱커페이션
33070,Schinkel,싱켈
33071,Karl Friedrich,카를 프리드리히
33072,synchro,싱크로
33073,synchronize,싱크로나이즈
33074,synchronized swimming,싱크로나이즈드스위밍
33075,synchro-reader,싱크로리더
33076,synchro-cyclotron,싱크로사이클로트론
33077,synchroscope,싱크로스코프
33078,synchrotron,싱크로트론
33079,syncretism,싱크리티즘
33080,Sinclair,싱클레어
33081,agar,아가
33082,agarose,아가로오스
33083,Agamemnon,아가멤논
33084,Agapanthus,아가판투스
33085,ageratum,아게라툼
33086,agouti,아구티
33087,Agnes,아그네스
33088,Agnon,아그논
33089,Agni,아그니
33090,Agrobacterium,아그로박테리움
33091,Agrippa,아그리파
33092,Agrippina Major,아그리피나
33093,aglycone,아글리콘
33094,Aguinaldo,아기날도
33095,ananas,아나나스
33096,announcer,아나운서
33097,anaconda,아나콘다
33098,Anacreon,아나크레온
33099,anachronism,아나크로니즘
33100,anarchist,아나키스트
33101,anarchism,아나키즘
33102,anatoxin,아나톡신
33103,Annapolis,아나폴리스
33104,anaphylaxis,아나필락시스
33105,Anaxagoras,아낙사고라스
33106,Anaximandros,아낙시만드로스
33107,Anaximenes,아낙시메네스
33108,analgin,아날긴
33109,analogue,아날로그
33110,analogue computer,아날로그 컴퓨터
33111,analogue simulation,아날로그시뮬레이션
33112,analogy,아날로지
33113,Arnold,아널드
33114,aneroid,아네로이드
33115,anemone,아네모네
33116,anethole,아네톨
33117,anonym,아노님
33118,anorak,아노락
33119,anomaloscope,아노말로스코프
33120,anoa,아노아
33121,anopheles,아노펠레스
33122,Hanon,아농
33123,Anu,아누
33124,Anubis,아누비스
33125,Anouilh,아누이
33126,anisole,아니솔
33127,anise,아니스
33128,anisidine,아니시딘
33129,anilide,아닐리드
33130,aniline,아닐린
33131,aniline black,아닐린블랙
33132,aniline blue,아닐린블루
33133,Hadamard,아다마르
33134,Adapa,아다파
33135,Adam,아담
33136,Adam Schall,아담 샬
33137,Adam,아당
33138,Adam de la Halle,아당 드라알
33139,Adenauer,아데나워
33140,adenovirus,아데노바이러스
33141,adenosine,아데노신
33142,adenosine triphosphatase,아데노신트리포스파타아제
33143,adenoid,아데노이드
33144,adenine,아데닌
33145,adermin,아데르민
33146,Adonis,아도니스
33147,Adorno,아도르노
33148,Adorm,아도름
33149,adrenaline,아드레날린
33150,adrenochrome,아드레노크롬
33151,aardwolf,아드울프
33152,adinole,아디놀
33153,adiantum,아디안툼
33154,Aditya,아디트야
33155,Aditi,아디티
33156,Arago,아라고
33157,aragonite,아라고나이트
33158,Aragon,아라공
33159,Louis,루이
33160,Aranyaka,아라니아카
33161,Arabi Pasha,아라비 파샤
33162,arabinose,아라비노오스
33163,Arabia,아라비아
33164,Arabian Nights,아라비안나이트
33165,Arabian Light,아라비안라이트
33166,Arachne,아라크네
33167,Aratos,아라토스
33168,Arantius,아란티우스
33169,Arab,아랍
33170,Arab Emirates,아랍에미리트
33171,Aregelia,아레겔리아
33172,Ares,아레스
33173,Aretino,아레티노
33174,Aromarama,아로마라마
33175,arowana,아로와나
33176,Aaron,아론
33177,Aron,아롱
33178,Arunta,아룬타
33179,are,아르
33180,argali,아르갈리
33181,Arghezi,아르게지
33182,Argelander,아르겔란더
33183,Argo,아르고
33184,argon,아르곤
33185,argon gas,아르곤가스
33186,argon laser,아르곤레이저
33187,arginase,아르기나아제
33188,arginine,아르기닌
33189,Arnauld,아르노
33190,Arnoldson,아르놀드손
33191,arnica,아르니카
33192,Arnim,아르님
33193,Hardy,아르디
33194,RDSS,아르디에스에스
33195,RDF,아르디에프
33196,armadillo,아르마딜로
33197,Armenia,아르메니아
33198,armeria,아르메리아
33199,Arbeau,아르보
33200,arbovirus,아르보바이러스
33201,Arbos,아르보스
33202,RBE,아르비이
33203,arsphenamine,아르스페나민
33204,arsine,아르신
33205,RSC,아르에스시
33206,rH,아르에이치
33207,Rh negative,아르에이치 네거티브
33208,Rh positive,아르에이치 포지티브
33209,RNA,아르엔에이
33210,RMC,아르엠시
33211,ROI,아르오아이
33212,ROKA,아르오케이에이
33213,ROTC,아르오티시
33214,Arzamas,아르자마스
33215,Arcadius,아르카디우스
33216,Arcas,아르카스
33217,arkosite,아르코사이트
33218,Arcos,아르코스
33219,Arcturus,아르크투루스
33220,Archimedes,아르키메데스
33221,Archilochos,아르킬로코스
33222,Artemis,아르테미스
33223,Artaud,아르토
33224,RTO,아르티오
33225,RPV,아르피브이
33226,rpm,아르피엠
33227,Argentina tango,아르헨티나탱고
33228,Arndt,아른트
33229,Arland,아를랑
33230,Ahriman,아리만
33231,Aristarchos,아리스타르코스
33232,Aristoteles,아리스토텔레스
33233,Aristophanes,아리스토파네스
33234,Aristides,아리스티데스
33235,Aristippos,아리스티포스
33236,Ariadne,아리아드네
33237,Aryan,아리안
33238,Arianne Rocket,아리안로켓
33239,Ariel,아리엘
33240,Ariosto,아리오스토
33241,Arion,아리온
33242,Arius,아리우스
33243,Arikbukha,아리크부카
33244,amaryllis,아마릴리스
33245,Amazon,아마존
33246,amateur,아마추어
33247,armature,아마추어
33248,amateurism,아마추어리즘
33249,amatol,아마톨
33250,amalgam,아말감
33251,Armory Show,아머리쇼
33252,Amerigo Vespucci,아메리고 베스푸치
33253,americium,아메리슘
33254,America,아메리카
33255,American dream,아메리칸드림
33256,American League,아메리칸리그
33257,American Ballet Theatre,아메리칸발레시어터
33258,American shorthair,아메리칸쇼트헤어
33259,American organ,아메리칸오르간
33260,American Indian,아메리칸인디언
33261,American crawl,아메리칸크롤
33262,amoeba,아메바
33263,amoeba limax,아메바리막스
33264,amoeba proteus,아메바프로테우스
33265,Ahmes Papyrus,아메스파피루스
33266,Amen,아멘
33267,Amen-Ra,아멘라
33268,Amenhotep,아멘호테프
33269,Amor,아모르
33270,amobarbital,아모바비탈
33271,Amos,아모스
33272,Amoy,아모이
33273,amoxicillin,아목시실린
33274,Amon,아몬
33275,almond,아몬드
33276,Amontons,아몽통
